day,x,y,z
313,-9.992402793815377E12,-1.5405403939757527E12,2.5879500058395617E7
314,-1.0023847214135523E13,-1.5453692453055825E12,2.593570261490209E7
315,-1.0055291624924254E13,-1.550198095165809E12,2.5991905151437055E7
316,-1.008673602624108E13,-1.5550269435656267E12,2.6048107668131206E7
317,-1.0118180418144959E13,-1.5598557905141438E12,2.6104310165113978E7
318,-1.0149624800694297E13,-1.5646846360203838E12,2.6160512642513555E7
319,-1.0181069173946959E13,-1.5695134800932864E12,2.6216715100456886E7
320,-1.0212513537960275E13,-1.5743423227417083E12,2.6272917539069712E7
321,-1.0243957892791047E13,-1.5791711639744243E12,2.6329119958476566E7
322,-1.0275402238495553E13,-1.5840000038001284E12,2.63853223588008E7
323,-1.0306846575129557E13,-1.5888288422274348E12,2.644152474016459E7
324,-1.0338290902748312E13,-1.5936576792648787E12,2.6497727102688957E7
325,-1.036973522140657E13,-1.5984865149209175E12,2.6553929446493782E7
326,-1.0401179531158582E13,-1.6033153492039316E12,2.661013177169782E7
327,-1.043262383205811E13,-1.6081441821222256E12,2.6666334078418706E7
328,-1.046406812415843E13,-1.6129730136840286E12,2.672253636677298E7
329,-1.049551240751234E13,-1.6178018438974956E12,2.677873863687609E7
330,-1.0526956682172162E13,-1.6226306727707085E12,2.6834940888842423E7
331,-1.0558400948189752E13,-1.6274595003116765E12,2.6891143122785293E7
332,-1.0589845205616502E13,-1.6322883265283374E12,2.694734533881697E7
333,-1.0621289454503348E13,-1.637117151428558E12,2.7003547537048694E7
334,-1.0652733694900773E13,-1.6419459750201357E12,2.705974971759068E7
335,-1.0684177926858816E13,-1.6467747973107983E12,2.711595188055213E7
336,-1.0715622150427072E13,-1.6516036183082056E12,2.717215402604126E7
337,-1.0747066365654701E13,-1.6564324380199497E12,2.7228356154165294E7
338,-1.0778510572590434E13,-1.6612612564535564E12,2.7284558265030477E7
339,-1.0809954771282572E13,-1.6660900736164854E12,2.7340760358742103E7
340,-1.0841398961779E13,-1.6709188895161313E12,2.739696243540451E7
341,-1.0872843144127184E13,-1.6757477041598245E12,2.7453164495121095E7
342,-1.090428731837418E13,-1.6805765175548315E12,2.7509366537994333E7
343,-1.0935731484566637E13,-1.6854053297083562E12,2.7565568564125776E7
344,-1.0967175642750803E13,-1.69023414062754E12,2.7621770573616076E7
345,-1.0998619792972527E13,-1.6950629503194634E12,2.767797256656499E7
346,-1.1030063935277268E13,-1.6998917587911455E12,2.773417454307138E7
347,-1.1061508069710094E13,-1.704720566049546E12,2.779037650323325E7
348,-1.1092952196315691E13,-1.7095493721015645E12,2.7846578447147723E7
349,-1.1124396315138367E13,-1.7143781769540425E12,2.7902780374911077E7
350,-1.115584042622205E13,-1.7192069806137632E12,2.7958982286618743E7
351,-1.1187284529610303E13,-1.7240357830874524E12,2.8015184182365317E7
352,-1.1218728625346316E13,-1.7288645843817793E12,2.807138606224457E7
353,-1.1250172713472922E13,-1.733693384503357E12,2.8127587926349465E7
354,-1.1281616794032592E13,-1.738522183458743E12,2.818378977477215E7
355,-1.1313060867067443E13,-1.74335098125444E12,2.8239991607603975E7
356,-1.1344504932619244E13,-1.7481797778968965E12,2.8296193424935512E7
357,-1.1375948990729414E13,-1.7530085733925073E12,2.835239522685655E7
358,-1.140739304143903E13,-1.7578373677476143E12,2.84085970134561E7
359,-1.1438837084788828E13,-1.7626661609685068E12,2.846479878482242E7
360,-1.1470281120819213E13,-1.7674949530614224E12,2.8521000541043013E7
361,-1.1501725149570254E13,-1.772323744032547E12,2.8577202282204643E7
362,-1.1533169171081695E13,-1.7771525338880164E12,2.863340400839333E7
363,-1.1564613185392953E13,-1.7819813226339153E12,2.868960571969437E7
364,-1.1596057192543125E13,-1.7868101102762795E12,2.8745807416192338E7
365,-1.162750119257099E13,-1.7916388968210955E12,2.88020090979711E7
